id, class_id, grade, assignment_name, completion
1, 1, 90, test1, completed
2, 1, 83, test2, completed
3, 1, 89, test3, completed
4, 1, 74, test4, completed
5, 1, 90, test5, completed
6, 1, 99, test6, completed
7, 1, 69, test7, completed
8, 1, 92, test8, completed
9, 1, 93, test9, completed
10, 1, 94, test10, completed
11, 2, 91, test1, completed
12, 2, 83, test2, completed
13, 2, 89, test3, completed
14, 2, 79, test4, completed
15, 2, 90, test5, completed
16, 2, 99, test6, completed
17, 2, 70, test7, completed
18, 2, 92, test8, completed
19, 2, 93, test9, completed
20, 2, 94, test10, completed
